P,land,soil,ET,I,R
3,woody_wetlands,0,0.52578,0.01757010026004174,2.456649899739958
3,woody_wetlands,1,0.52578,0.01757010026004174,2.456649899739958
3,woody_wetlands,2,0.52578,0.01757010026004174,2.456649899739958
3,woody_wetlands,3,0.52578,0.01757010026004174,2.456649899739958
5,open_water,0,0.0,0.0,5.0
5,open_water,1,0.0,0.0,5.0
5,open_water,2,0.0,0.0,5.0
5,open_water,3,0.0,0.0,5.0
5,developed_open,0,0.36804599999999993,4.164376419282788,0.46757758071721206
5,developed_open,1,0.36804599999999993,3.3513979573183024,1.2805560426816982
5,developed_open,2,0.36804599999999993,2.5358637160921065,2.096090283907894
5,developed_open,3,0.36804599999999993,2.0871010328217903,2.54485296717821
5,developed_low,0,0.22082759999999999,3.939551448310204,0.8396209516897961
